name_1,name_2,sku,manufacturer_sku,manufacturer,color_code_mfr,category_sorting,weight,url_key,url_key_config_prod,status,visibility,release_location,affiliate_commission,remove_from_feed,exclude_discount,size_convert,country_of_manufacturer,tariffcode,tarifftext,color_multi,color_simple,size_shoe,color_code_mfr,sneaker_style_multi,sex_multi,gender,special_description,manufacturer_detail,sneaker_vegan,sneakermodel,description,sort_description,description_manufacturer,price,special_price,final_price,cost,store_price,meta_title,meta_description,meta_keyword,related_products_keyword,category_id,category,image,image1,image2,image3,image4,image5,parent_qty,ean,fitting,new_category,sorting,saleprice_start,saleprice_end,shipping_restriction,Erstelldatum
Chemist Creations x Asics Gel -Fujitrabuco 7 ( CA-003 / Soda Pop/Pure White )-40.5,,50518-40.5,CA-003,Asics,Soda Pop / Pure White,-20191109,1.5,chemist-creations-x-asics-gel-fujitrabuco-7-ca-003-soda-pop-pure-white-40-5,chemist-creations-x-asics-gel-fujitrabuco-7-ca-003-soda-pop-pure-white,Enabled,Not Visible Individually,Online Only,0,0,,Asics Mens,GB,,,Weiß,,40.5,Soda Pop / Pure White,,,Men,,,Nein,,,,,189,,189,76.0000,189,Chemist Creations x Asics Gel -Fujitrabuco 7 ( CA-003 / Soda Pop/Pure White ),Chemist Creations x Asics Gel -Fujitrabuco 7 ( CA-003 / Soda Pop/Pure White )  Sneaker  Sneaker  Men  Men  Low-Tops  Low-Tops  Running  Running,Chemist Creations x Asics Gel -Fujitrabuco 7 ( CA-003 / Soda Pop/Pure White )  Sneaker  Sneaker  Men  Men  Low-Tops  Low-Tops  Running  Running,,23,Low-Tops,,,,,,,0,20050515405,Normal,,-20191109,,,,2019-11-08T11:04:21+01:00
Chemist Creations x Asics Gel -Fujitrabuco 7 ( CA-003 / Soda Pop/Pure White )-41.5,,50518-41.5,CA-003,Asics,Soda Pop / Pure White,-20191109,1.5,chemist-creations-x-asics-gel-fujitrabuco-7-ca-003-soda-pop-pure-white-41-5,chemist-creations-x-asics-gel-fujitrabuco-7-ca-003-soda-pop-pure-white,Enabled,Not Visible Individually,Online Only,0,0,,Asics Mens,GB,,,Weiß,,41.5,Soda Pop / Pure White,,,Men,,,Nein,,,,,189,,189,76.0000,189,Chemist Creations x Asics Gel -Fujitrabuco 7 ( CA-003 / Soda Pop/Pure White ),Chemist Creations x Asics Gel -Fujitrabuco 7 ( CA-003 / Soda Pop/Pure White )  Sneaker  Sneaker  Men  Men  Low-Tops  Low-Tops  Running  Running,Chemist Creations x Asics Gel -Fujitrabuco 7 ( CA-003 / Soda Pop/Pure White )  Sneaker  Sneaker  Men  Men  Low-Tops  Low-Tops  Running  Running,,23,Low-Tops,,,,,,,0,20050515415,Normal,,-20191109,,,,2019-11-08T11:04:37+01:00
Chemist Creations x Asics Gel -Fujitrabuco 7 ( CA-003 / Soda Pop/Pure White )-43.5,,50518-43.5,CA-003,Asics,Soda Pop / Pure White,-20191109,1.5,chemist-creations-x-asics-gel-fujitrabuco-7-ca-003-soda-pop-pure-white-43-5,chemist-creations-x-asics-gel-fujitrabuco-7-ca-003-soda-pop-pure-white,Enabled,Not Visible Individually,Online Only,0,0,,Asics Mens,GB,,,Weiß,,43.5,Soda Pop / Pure White,,,Men,,,Nein,,,,,189,,189,76.0000,189,Chemist Creations x Asics Gel -Fujitrabuco 7 ( CA-003 / Soda Pop/Pure White ),Chemist Creations x Asics Gel -Fujitrabuco 7 ( CA-003 / Soda Pop/Pure White )  Sneaker  Sneaker  Men  Men  Low-Tops  Low-Tops  Running  Running,Chemist Creations x Asics Gel -Fujitrabuco 7 ( CA-003 / Soda Pop/Pure White )  Sneaker  Sneaker  Men  Men  Low-Tops  Low-Tops  Running  Running,,23,Low-Tops,,,,,,,0,20050515435,Normal,,-20191109,,,,2019-11-08T11:05:06+01:00
Chemist Creations x Asics Gel -Fujitrabuco 7 ( CA-003 / Soda Pop/Pure White )-44,,50518-44,CA-003,Asics,Soda Pop / Pure White,-20191109,1.5,chemist-creations-x-asics-gel-fujitrabuco-7-ca-003-soda-pop-pure-white-44,chemist-creations-x-asics-gel-fujitrabuco-7-ca-003-soda-pop-pure-white,Enabled,Not Visible Individually,Online Only,0,0,,Asics Mens,GB,,,Weiß,,44,Soda Pop / Pure White,,,Men,,,Nein,,,,,189,,189,76.0000,189,Chemist Creations x Asics Gel -Fujitrabuco 7 ( CA-003 / Soda Pop/Pure White ),Chemist Creations x Asics Gel -Fujitrabuco 7 ( CA-003 / Soda Pop/Pure White )  Sneaker  Sneaker  Men  Men  Low-Tops  Low-Tops  Running  Running,Chemist Creations x Asics Gel -Fujitrabuco 7 ( CA-003 / Soda Pop/Pure White )  Sneaker  Sneaker  Men  Men  Low-Tops  Low-Tops  Running  Running,,23,Low-Tops,,,,,,,0,20050515440,Normal,,-20191109,,,,2019-11-08T11:05:17+01:00
Chemist Creations x Asics Gel -Fujitrabuco 7 ( CA-003 / Soda Pop/Pure White )-44.5,,50518-44.5,CA-003,Asics,Soda Pop / Pure White,-20191109,1.5,chemist-creations-x-asics-gel-fujitrabuco-7-ca-003-soda-pop-pure-white-44-5,chemist-creations-x-asics-gel-fujitrabuco-7-ca-003-soda-pop-pure-white,Enabled,Not Visible Individually,Online Only,0,0,,Asics Mens,GB,,,Weiß,,44.5,Soda Pop / Pure White,,,Men,,,Nein,,,,,189,,189,76.0000,189,Chemist Creations x Asics Gel -Fujitrabuco 7 ( CA-003 / Soda Pop/Pure White ),Chemist Creations x Asics Gel -Fujitrabuco 7 ( CA-003 / Soda Pop/Pure White )  Sneaker  Sneaker  Men  Men  Low-Tops  Low-Tops  Running  Running,Chemist Creations x Asics Gel -Fujitrabuco 7 ( CA-003 / Soda Pop/Pure White )  Sneaker  Sneaker  Men  Men  Low-Tops  Low-Tops  Running  Running,,23,Low-Tops,,,,,,,0,20050515445,Normal,,-20191109,,,,2019-11-08T11:05:30+01:00
Chemist Creations x Asics Gel -Fujitrabuco 7 ( CA-003 / Soda Pop/Pure White )-45,,50518-45,CA-003,Asics,Soda Pop / Pure White,-20191109,1.5,chemist-creations-x-asics-gel-fujitrabuco-7-ca-003-soda-pop-pure-white-45,chemist-creations-x-asics-gel-fujitrabuco-7-ca-003-soda-pop-pure-white,Enabled,Not Visible Individually,Online Only,0,0,,Asics Mens,GB,,,Weiß,,45,Soda Pop / Pure White,,,Men,,,Nein,,,,,189,,189,76.0000,189,Chemist Creations x Asics Gel -Fujitrabuco 7 ( CA-003 / Soda Pop/Pure White ),Chemist Creations x Asics Gel -Fujitrabuco 7 ( CA-003 / Soda Pop/Pure White )  Sneaker  Sneaker  Men  Men  Low-Tops  Low-Tops  Running  Running,Chemist Creations x Asics Gel -Fujitrabuco 7 ( CA-003 / Soda Pop/Pure White )  Sneaker  Sneaker  Men  Men  Low-Tops  Low-Tops  Running  Running,,23,Low-Tops,,,,,,,0,20050515450,Normal,,-20191109,,,,2019-11-08T11:05:40+01:00
Chemist Creations x Asics Gel -Fujitrabuco 7 ( CA-003 / Soda Pop/Pure White )-46,,50518-46,CA-003,Asics,Soda Pop / Pure White,-20191109,1.5,chemist-creations-x-asics-gel-fujitrabuco-7-ca-003-soda-pop-pure-white-46,chemist-creations-x-asics-gel-fujitrabuco-7-ca-003-soda-pop-pure-white,Enabled,Not Visible Individually,Online Only,0,0,,Asics Mens,GB,,,Weiß,,46,Soda Pop / Pure White,,,Men,,,Nein,,,,,189,,189,76.0000,189,Chemist Creations x Asics Gel -Fujitrabuco 7 ( CA-003 / Soda Pop/Pure White ),Chemist Creations x Asics Gel -Fujitrabuco 7 ( CA-003 / Soda Pop/Pure White )  Sneaker  Sneaker  Men  Men  Low-Tops  Low-Tops  Running  Running,Chemist Creations x Asics Gel -Fujitrabuco 7 ( CA-003 / Soda Pop/Pure White )  Sneaker  Sneaker  Men  Men  Low-Tops  Low-Tops  Running  Running,,23,Low-Tops,,,,,,,0,20050515460,Normal,,-20191109,,,,2019-11-08T11:05:51+01:00
Chemist Creations x Asics Gel -Fujitrabuco 7 ( CA-003 / Soda Pop/Pure White )-46.5,,50518-46.5,CA-003,Asics,Soda Pop / Pure White,-20191109,1.5,chemist-creations-x-asics-gel-fujitrabuco-7-ca-003-soda-pop-pure-white-46-5,chemist-creations-x-asics-gel-fujitrabuco-7-ca-003-soda-pop-pure-white,Enabled,Not Visible Individually,Online Only,0,0,,Asics Mens,GB,,,Weiß,,46.5,Soda Pop / Pure White,,,Men,,,Nein,,,,,189,,189,76.0000,189,Chemist Creations x Asics Gel -Fujitrabuco 7 ( CA-003 / Soda Pop/Pure White ),Chemist Creations x Asics Gel -Fujitrabuco 7 ( CA-003 / Soda Pop/Pure White )  Sneaker  Sneaker  Men  Men  Low-Tops  Low-Tops  Running  Running,Chemist Creations x Asics Gel -Fujitrabuco 7 ( CA-003 / Soda Pop/Pure White )  Sneaker  Sneaker  Men  Men  Low-Tops  Low-Tops  Running  Running,,23,Low-Tops,,,,,,,0,20050515465,Normal,,-20191109,,,,2019-11-08T11:06:01+01:00
